Temperature,Air_Density,Soil_Moisture,Fire_Detection
33.0,1.161,False,False
29.9,1.17,False,False
13.3,1.233,True,False
22.9,1.189,False,False
19.3,1.211,True,False
18.5,1.212,True,False
44.1,1.118,False,True
23.8,1.193,True,False
41.2,1.129,False,True
32.1,1.153,False,False
37.8,1.143,True,False
27.6,1.175,True,False
30.2,1.176,False,False
27.2,1.171,False,False
16.8,1.228,True,False
35.3,1.146,False,True
19.8,1.201,True,False
10.9,1.24,True,False
32.6,1.153,False,False
16.2,1.222,True,False
42.9,1.12,False,True
43.4,1.112,False,True
42.0,1.12,True,False
23.0,1.205,False,False
10.5,1.255,True,False
42.5,1.121,False,True
25.0,1.184,True,False
43.8,1.114,False,True
43.7,1.117,False,True
39.9,1.122,False,True
20.3,1.201,True,False
23.5,1.18,True,False
39.8,1.13,False,True
21.1,1.203,True,False
15.9,1.218,True,False
29.5,1.175,False,False
42.8,1.111,False,True
34.4,1.14,False,False
30.0,1.166,True,False
13.4,1.238,True,False
31.5,1.168,True,False
44.7,1.108,False,True
14.9,1.232,True,False
28.1,1.171,True,False
40.7,1.124,False,True
35.9,1.147,False,False
34.4,1.151,False,False
34.6,1.138,False,False
22.6,1.202,True,False
20.3,1.211,False,False
38.3,1.13,False,False
38.4,1.135,False,True
40.3,1.129,False,True
42.0,1.122,False,True
27.9,1.169,False,False
27.6,1.17,False,False
37.9,1.135,False,False
32.7,1.161,True,False
34.6,1.15,False,False
37.9,1.133,False,True
41.2,1.127,False,True
21.8,1.18,True,False
23.1,1.198,True,False
13.3,1.222,True,False
30.2,1.161,False,False
11.3,1.234,True,False
26.3,1.171,True,False
29.0,1.175,False,False
20.0,1.201,True,False
30.7,1.164,False,False
11.1,1.242,True,False
11.3,1.244,True,False
38.8,1.132,False,False
22.6,1.186,True,False
14.4,1.233,True,False
28.3,1.168,False,False
36.9,1.13,False,False
17.6,1.212,True,False
31.8,1.166,False,False
13.0,1.239,True,False
11.8,1.237,True,False
28.6,1.168,False,False
28.9,1.167,True,False
32.3,1.167,False,False
35.4,1.146,False,False
44.2,1.115,False,True
28.1,1.178,False,False
21.3,1.2,True,False
37.8,1.134,False,False
19.5,1.205,True,False
25.4,1.182,True,False
12.7,1.234,True,False
10.9,1.247,True,False
43.7,1.114,False,True
39.3,1.134,False,False
34.4,1.147,True,False
24.3,1.187,True,False
16.1,1.208,True,False
15.5,1.229,True,False
18.8,1.211,True,False
29.2,1.173,True,False
35.0,1.129,False,False
33.1,1.164,False,False
19.8,1.204,True,False
43.4,1.121,False,True
35.8,1.137,True,False
29.4,1.17,True,False
31.4,1.153,False,False
24.7,1.182,True,False
18.7,1.221,True,False
22.5,1.193,True,False
36.5,1.141,False,True
10.5,1.25,True,False
14.1,1.232,True,False
11.6,1.241,True,False
11.4,1.243,True,False
39.9,1.141,False,True
34.6,1.147,False,False
26.6,1.179,True,False
13.4,1.238,True,False
27.2,1.182,True,False
26.6,1.185,False,False
16.1,1.224,True,False
25.2,1.177,True,False
23.9,1.198,True,False
31.6,1.152,False,False
32.2,1.158,True,False
11.6,1.235,True,False
23.1,1.191,True,False
31.9,1.159,False,False
27.6,1.176,False,False
40.0,1.13,False,True
33.1,1.162,False,False
15.7,1.225,True,False
12.5,1.234,True,False
32.5,1.16,True,False
10.9,1.25,True,False
30.5,1.155,False,False
42.9,1.12,False,True
30.1,1.168,False,False
23.6,1.188,False,False
32.5,1.163,False,False
26.0,1.179,True,False
29.1,1.169,False,False
43.0,1.116,False,True
23.5,1.19,True,False
43.6,1.108,False,True
41.7,1.113,False,True
16.9,1.227,True,False
12.4,1.231,True,False
13.5,1.225,True,False
10.6,1.231,True,False
13.3,1.228,True,False
33.9,1.142,False,False
12.5,1.246,True,False
21.2,1.205,True,False
39.6,1.125,False,True
10.8,1.257,True,False
38.5,1.138,False,False
19.9,1.203,True,False
14.1,1.214,True,False
34.4,1.161,False,False
32.0,1.149,False,False
40.7,1.116,False,True
35.7,1.149,False,True
38.1,1.148,False,True
19.9,1.213,True,False
16.2,1.223,True,False
36.3,1.144,False,True
38.2,1.138,False,True
44.7,1.115,False,True
24.4,1.188,True,False
23.0,1.192,True,False
37.2,1.137,False,True
21.9,1.192,True,False
42.6,1.116,False,True
40.0,1.118,True,False
25.0,1.183,True,False
36.3,1.135,False,False
36.4,1.134,True,False
13.6,1.232,True,False
41.6,1.129,False,True
27.7,1.179,True,False
38.9,1.122,False,True
21.2,1.193,True,False
41.3,1.128,False,True
23.6,1.184,True,False
10.4,1.244,True,False
41.7,1.124,False,True
13.2,1.227,True,False
21.2,1.2,True,False
43.3,1.108,False,True
43.3,1.112,False,True
30.1,1.166,False,False
32.1,1.147,False,False
25.7,1.184,False,False
20.3,1.203,True,False
21.5,1.201,True,False
33.5,1.152,False,False
36.3,1.148,False,False
37.7,1.136,False,True
37.6,1.133,False,True
13.2,1.233,True,False
27.3,1.178,True,False
12.0,1.238,True,False
29.2,1.168,False,False
25.5,1.178,True,False
41.1,1.12,False,False
22.3,1.187,True,False
14.1,1.239,True,False
15.0,1.217,True,False
36.7,1.135,False,False
31.6,1.154,False,False
13.5,1.237,True,False
12.9,1.232,True,False
34.5,1.154,False,False
12.5,1.231,True,False
38.8,1.133,False,True
34.7,1.142,False,False
12.8,1.247,True,False
13.0,1.226,True,False
44.5,1.113,False,True
23.1,1.195,True,False
23.0,1.194,True,False
38.4,1.132,False,True
43.2,1.115,False,True
44.5,1.111,False,True
36.4,1.14,False,False
23.2,1.197,False,False
12.9,1.247,True,False
37.2,1.134,False,True
29.5,1.158,False,False
24.8,1.184,False,False
41.7,1.135,False,True
13.9,1.225,True,False
27.2,1.185,True,False
10.4,1.255,True,False
26.4,1.175,True,False
12.0,1.242,True,False
14.2,1.238,True,False
14.1,1.226,True,False
32.7,1.153,True,False
36.1,1.138,False,False
30.4,1.157,False,False
43.7,1.111,False,True
23.1,1.184,True,False
20.0,1.204,True,False
40.4,1.121,False,True
17.8,1.215,True,False
43.7,1.105,False,True
10.4,1.247,True,False
43.9,1.118,False,True
11.5,1.228,True,False
41.2,1.125,False,True
28.5,1.177,True,False
44.8,1.104,False,True
12.6,1.246,True,False
29.4,1.169,False,False
43.9,1.109,False,True
28.3,1.171,False,False
32.0,1.16,False,False
34.4,1.148,False,True
25.9,1.183,True,False
32.0,1.152,False,False
30.5,1.164,True,False
41.5,1.114,False,True
11.6,1.239,True,False
19.8,1.199,True,False
43.3,1.112,False,True
41.2,1.13,False,True
25.9,1.187,True,False
31.7,1.161,True,False
19.7,1.199,True,False
16.6,1.216,True,False
26.2,1.186,True,False
22.4,1.195,True,False
30.4,1.176,False,False
12.7,1.237,True,False
44.1,1.114,False,True
44.5,1.109,False,True
34.4,1.148,False,False
28.8,1.168,True,False
20.8,1.205,False,False
38.5,1.138,False,True
34.0,1.145,False,False
15.7,1.214,False,False
41.9,1.11,False,True
38.8,1.134,False,True
43.2,1.11,False,True
35.4,1.132,False,True
31.5,1.161,True,False
24.6,1.2,True,False
42.6,1.118,False,True
40.3,1.131,False,True
11.6,1.24,True,False
10.9,1.242,True,False
23.2,1.197,False,False
38.4,1.131,False,True
44.6,1.113,False,True
15.3,1.226,True,False
30.8,1.158,False,False
23.3,1.196,True,False
43.9,1.112,False,True
39.5,1.125,False,False
39.3,1.133,False,True
26.4,1.173,False,False
24.5,1.186,True,False
19.6,1.206,True,False
12.0,1.245,True,False
40.3,1.129,False,True
38.5,1.133,False,False
45.0,1.114,False,True
44.9,1.118,False,True
29.4,1.17,True,False
36.9,1.138,False,False
43.1,1.109,False,True
39.7,1.122,False,False
18.7,1.208,True,False
25.8,1.177,True,False
14.5,1.226,True,False
43.4,1.115,False,True
31.2,1.163,True,False
18.0,1.212,True,False
33.5,1.154,True,False
31.6,1.159,False,False
22.5,1.182,True,False
14.0,1.224,True,False
33.5,1.15,False,False
28.2,1.164,True,False
37.0,1.141,False,False
28.2,1.18,False,False
39.8,1.135,False,False
29.3,1.166,False,False
29.6,1.174,True,False
40.7,1.126,False,True
24.1,1.185,True,False
14.7,1.223,True,False
11.0,1.24,True,False
36.4,1.138,False,False
31.7,1.159,False,False
34.6,1.148,False,False
17.5,1.215,True,False
14.8,1.229,True,False
10.5,1.252,True,False
22.3,1.2,True,False
30.6,1.153,True,False
23.7,1.174,True,False
25.3,1.188,False,False
41.6,1.114,False,True
22.2,1.194,True,False
28.0,1.165,True,False
37.4,1.126,True,False
23.9,1.192,True,False
31.8,1.162,True,False
40.2,1.123,False,True
43.2,1.101,False,True
15.1,1.221,True,False
42.4,1.121,False,True
27.2,1.167,True,False
19.0,1.209,True,False
26.1,1.18,True,False
44.3,1.115,False,True
27.2,1.176,True,False
21.5,1.192,True,False
32.2,1.163,False,False
18.4,1.21,True,False
12.7,1.235,True,False
14.5,1.221,True,False
14.5,1.225,True,False
15.3,1.218,True,False
14.9,1.225,True,False
32.4,1.165,True,False
16.4,1.211,True,False
22.1,1.186,True,False
41.4,1.13,False,True
26.6,1.176,False,False
33.4,1.148,False,False
16.0,1.227,True,False
16.7,1.214,True,False
11.4,1.252,True,False
15.9,1.225,True,False
19.8,1.202,True,False
16.2,1.233,True,False
13.1,1.229,True,False
14.2,1.233,True,False
26.1,1.181,False,False
17.2,1.223,True,False
22.7,1.202,True,False
27.6,1.174,True,False
34.2,1.144,False,False
11.4,1.243,True,False
38.0,1.131,False,True
32.0,1.168,False,False
12.9,1.235,True,False
40.6,1.123,False,True
42.2,1.12,False,True
12.1,1.229,True,False
19.7,1.2,True,False
38.2,1.14,False,True
36.2,1.137,True,False
16.5,1.213,False,False
17.3,1.218,True,False
23.0,1.199,True,False
27.0,1.18,True,False
31.6,1.164,True,False
22.9,1.188,True,False
26.2,1.171,False,False
36.2,1.15,False,False
11.3,1.239,True,False
18.8,1.207,True,False
35.0,1.153,False,False
41.3,1.126,False,True
27.9,1.175,True,False
28.6,1.182,True,False
13.8,1.226,True,False
25.7,1.187,False,False
28.6,1.17,False,False
18.5,1.212,True,False
19.4,1.216,True,False
23.2,1.194,False,False
10.7,1.247,True,False
21.3,1.205,False,False
17.4,1.213,True,False
21.5,1.193,True,False
14.2,1.222,True,False
41.2,1.112,False,True
30.8,1.173,True,False
33.8,1.144,False,False
37.6,1.135,False,True
27.4,1.173,True,False
13.0,1.235,True,False
28.8,1.174,False,False
30.5,1.167,False,False
36.1,1.138,True,False
25.1,1.183,True,False
14.5,1.229,True,False
19.9,1.203,True,False
22.7,1.203,True,False
32.6,1.157,False,False
30.0,1.169,True,False
22.5,1.198,True,False
44.5,1.118,False,True
31.2,1.161,False,False
18.3,1.203,True,False
13.6,1.234,True,False
15.4,1.22,True,False
18.6,1.207,True,False
15.6,1.226,True,False
16.5,1.226,True,False
20.0,1.204,True,False
16.1,1.222,True,False
41.4,1.132,False,True
12.8,1.236,True,False
28.4,1.186,False,False
24.4,1.19,True,False
44.4,1.102,False,True
13.9,1.234,True,False
23.9,1.19,False,False
43.9,1.12,False,True
40.3,1.13,False,True
38.6,1.132,False,True
19.0,1.201,True,False
16.0,1.22,True,False
33.4,1.147,False,False
42.5,1.115,False,True
29.5,1.17,True,False
30.0,1.174,False,False
19.8,1.207,True,False
36.9,1.132,False,True
16.5,1.221,True,False
21.3,1.206,True,False
24.9,1.181,True,False
27.8,1.172,False,False
18.5,1.21,False,False
14.0,1.224,True,False
31.4,1.163,True,False
20.1,1.203,True,False
30.3,1.165,False,False
15.4,1.218,True,False
26.8,1.174,False,False
28.6,1.174,True,False
11.8,1.236,True,False
21.8,1.207,True,False
14.7,1.224,True,False
12.2,1.238,True,False
44.6,1.116,False,True
21.3,1.19,True,False
38.3,1.123,False,False
18.9,1.2,True,False
33.9,1.157,False,False
36.6,1.136,False,True
30.8,1.176,False,False
26.5,1.175,True,False
24.4,1.187,False,False
22.2,1.204,True,False
42.5,1.129,False,True
39.1,1.142,False,True
43.8,1.12,False,True
14.4,1.234,True,False
35.6,1.147,False,False
42.8,1.121,False,True
16.3,1.216,True,False
12.3,1.231,True,False
35.9,1.142,True,False
30.1,1.163,False,False
39.5,1.127,False,True
14.9,1.23,True,False
37.8,1.14,False,False
17.1,1.217,True,False
15.7,1.231,True,False
15.7,1.215,True,False
38.5,1.132,False,False
33.3,1.148,True,False
28.3,1.16,False,False
22.6,1.193,True,False
40.7,1.124,False,True
23.7,1.198,True,False
38.6,1.136,False,False
25.4,1.176,True,False
23.2,1.202,True,False
26.2,1.186,False,False
20.5,1.205,True,False
36.2,1.14,False,True
27.6,1.168,False,False
18.1,1.21,True,False
41.5,1.128,False,True
23.4,1.201,True,False
29.0,1.177,True,False
41.7,1.118,False,True
31.8,1.151,False,False
14.1,1.23,True,False
42.9,1.107,False,True
32.0,1.159,True,False
21.7,1.196,True,False
14.9,1.223,True,False
37.8,1.126,False,True
31.7,1.161,True,False
28.7,1.166,True,False
41.3,1.116,False,True
37.6,1.12,False,True
15.3,1.224,True,False
20.9,1.211,True,False
18.7,1.219,True,False
36.0,1.139,False,False
11.2,1.238,True,False
29.9,1.167,False,False
36.7,1.134,False,False
40.7,1.126,False,False
22.0,1.201,True,False
38.7,1.139,False,False
13.9,1.229,True,False
39.6,1.127,False,False
14.5,1.222,True,False
23.9,1.183,False,False
37.9,1.134,False,False
15.2,1.226,True,False
18.0,1.218,True,False
35.3,1.14,False,False
35.2,1.153,False,False
32.4,1.154,False,False
34.3,1.148,True,False
29.0,1.164,False,False
18.8,1.195,True,False
22.1,1.201,True,False
16.4,1.224,True,False
41.8,1.119,False,True
30.4,1.163,True,False
24.0,1.191,True,False
26.2,1.17,True,False
43.2,1.113,False,True
15.4,1.228,True,False
30.5,1.155,True,False
27.7,1.175,True,False
31.4,1.151,False,False
10.6,1.247,True,False
40.5,1.125,False,True
42.6,1.109,False,True
29.8,1.172,False,False
34.4,1.144,False,False
42.3,1.115,False,True
34.8,1.148,False,False
15.3,1.231,True,False
30.2,1.158,False,False
31.2,1.16,True,False
24.8,1.187,True,False
35.8,1.147,False,False
42.7,1.119,False,True
42.4,1.117,False,True
25.8,1.176,True,False
14.0,1.23,True,False
44.5,1.105,False,True
39.4,1.113,False,True
14.4,1.23,True,False
42.2,1.124,False,True
40.4,1.112,False,True
28.2,1.166,False,False
30.7,1.165,False,False
24.0,1.2,True,False
11.9,1.238,True,False
21.7,1.193,True,False
38.1,1.133,False,False
10.2,1.254,True,False
21.7,1.193,True,False
23.9,1.183,True,False
28.8,1.166,False,False
42.2,1.114,False,True
22.1,1.196,True,False
22.1,1.205,True,False
35.8,1.144,False,False
25.8,1.179,False,False
17.9,1.211,True,False
25.8,1.172,True,False
14.9,1.231,True,False
16.2,1.22,True,False
27.4,1.173,True,False
24.7,1.204,True,False
42.0,1.122,False,True
22.7,1.189,True,False
30.3,1.161,False,False
32.1,1.163,False,False
10.5,1.245,True,False
33.2,1.144,True,False
16.2,1.225,True,False
43.6,1.111,False,True
15.2,1.235,True,False
24.5,1.192,False,False
13.0,1.231,True,False
44.9,1.117,False,True
27.6,1.174,True,False
30.8,1.166,False,False
12.3,1.239,True,False
36.2,1.136,False,False
17.3,1.211,True,False
41.4,1.128,False,True
17.2,1.214,True,False
16.7,1.216,True,False
11.3,1.235,True,False
26.5,1.18,True,False
29.8,1.177,True,False
12.3,1.23,True,False
37.1,1.138,False,False
25.9,1.189,False,False
28.4,1.17,False,False
25.4,1.185,True,False
24.0,1.182,True,False
29.6,1.168,True,False
15.4,1.222,True,False
16.4,1.225,True,False
40.2,1.133,False,True
43.1,1.13,False,True
23.1,1.195,False,False
19.5,1.208,True,False
32.5,1.156,False,False
24.3,1.185,True,False
10.9,1.245,True,False
15.5,1.221,True,False
35.1,1.146,False,False
33.1,1.16,False,False
10.9,1.236,True,False
17.8,1.22,True,False
18.1,1.22,True,False
33.5,1.15,True,False
10.7,1.231,True,False
13.6,1.227,True,False
38.0,1.142,False,False
16.2,1.22,True,False
32.8,1.148,True,False
18.3,1.208,True,False
13.5,1.237,True,False
18.5,1.214,True,False
35.3,1.143,False,False
39.9,1.125,False,False
39.1,1.128,False,True
23.9,1.183,True,False
33.4,1.161,True,False
17.2,1.214,True,False
20.3,1.21,True,False
41.4,1.131,False,True
10.5,1.251,True,False
13.0,1.231,True,False
17.3,1.218,True,False
10.9,1.242,True,False
16.4,1.214,True,False
30.4,1.165,False,False
24.7,1.178,True,False
41.2,1.129,False,True
38.6,1.13,False,True
22.0,1.197,True,False
19.1,1.21,True,False
23.3,1.189,True,False
30.7,1.165,False,False
19.4,1.204,True,False
31.8,1.162,True,False
24.3,1.179,True,False
29.3,1.168,False,False
25.3,1.194,True,False
20.3,1.197,True,False
43.2,1.112,False,True
36.7,1.142,False,True
14.9,1.227,True,False
40.4,1.128,False,True
27.1,1.179,False,False
41.3,1.126,False,True
38.0,1.141,False,False
24.9,1.187,True,False
10.8,1.242,True,False
19.4,1.211,True,False
29.0,1.179,False,False
32.2,1.155,False,False
19.0,1.202,True,False
14.9,1.232,True,False
39.2,1.129,True,False
44.5,1.099,False,True
28.4,1.175,False,False
16.0,1.218,True,False
19.5,1.206,True,False
10.6,1.246,True,False
42.0,1.121,False,True
14.1,1.233,True,False
30.2,1.161,False,False
19.6,1.209,True,False
29.4,1.165,True,False
32.8,1.158,True,False
39.0,1.134,False,False
17.2,1.21,True,False
10.4,1.252,True,False
14.8,1.223,True,False
41.5,1.126,False,True
40.6,1.127,False,True
30.9,1.171,True,False
31.0,1.159,True,False
33.3,1.15,False,False
16.1,1.22,True,False
42.0,1.118,False,True
24.7,1.19,True,False
23.4,1.181,True,False
28.2,1.165,False,False
11.6,1.233,True,False
15.8,1.227,True,False
35.8,1.152,False,False
12.9,1.233,True,False
31.1,1.159,False,False
18.6,1.21,True,False
23.6,1.196,True,False
20.1,1.198,True,False
22.4,1.196,True,False
35.2,1.15,False,False
20.4,1.205,True,False
29.8,1.166,True,False
26.7,1.183,True,False
33.2,1.137,False,False
42.8,1.121,False,True
35.6,1.139,False,False
17.5,1.203,True,False
11.1,1.245,True,False
19.2,1.216,True,False
30.8,1.16,False,False
11.8,1.245,True,False
27.4,1.184,False,False
30.9,1.169,True,False
21.7,1.207,True,False
37.0,1.142,False,True
13.7,1.231,True,False
12.6,1.225,True,False
35.5,1.142,False,False
27.3,1.17,True,False
34.1,1.161,False,False
25.2,1.182,True,False
18.6,1.211,True,False
38.7,1.135,False,False
38.0,1.135,False,True
34.3,1.158,False,False
19.5,1.202,True,False
30.7,1.163,False,False
22.6,1.189,True,False
13.2,1.225,True,False
42.1,1.116,False,True
14.8,1.226,True,False
43.3,1.113,False,True
25.6,1.177,True,False
